date,Realized_SPX,Realized_SX5E
20180801,8.617675529040742,9.683268717786317
20180731,8.779867046616863,10.167106809997453
20180730,8.828846499105815,10.33300273209445
20180727,8.451950960050715,10.713499291608077
20180726,8.413482129150056,11.052289355257392
20180725,8.86798103986148,10.686301449127013
20180724,8.328996047008829,10.583303574602946
20180723,8.365074031009318,10.423084451528775
20180720,9.464212628450273,13.12252520371779
20180719,9.712153871645713,13.572220167994468
20180718,9.632994136122484,13.513007687737947
20180717,9.704950583039064,13.59887772645967
20180716,9.844476257697513,13.907798809162461
20180713,9.635335410448914,14.254550799660533
20180712,9.665985050008318,14.982443615300772
20180711,9.288620290055666,14.804783664767102
20180710,8.975529834841252,13.898897237634364
20180709,9.114463536788769,14.181040218425563
20180706,8.435854380985077,14.230028878445259
20180705,7.916163872089966,14.210040464780072
20180704,7.909295676432662,13.91249165365631
20180703,7.91303716206423,13.959129822569585
20180702,7.915025099614624,13.850015767706894
20180629,8.654968302088173,14.21105549950023
20180628,8.975424149945677,14.30612332866982
20180627,9.752162998571116,13.996793685963116
20180626,10.118242187222782,14.741117506928859
20180625,10.33860393686243,15.105062302944786
20180622,8.918904713691706,13.18936777950796
20180621,8.923216660843899,12.765874345414968
20180620,8.719131750467517,13.004199768060639
20180619,8.766740118939504,13.074375324957233
20180618,8.868516862797717,13.003377238791874
20180615,9.038526392344428,12.234421117939279
20180614,9.0365187741983,12.369733694731782
20180613,9.104836436732503,11.44214928250094
20180612,9.305998255855974,11.436146742818588
20180611,9.51574496782381,11.708990318690168
20180608,9.302877399172074,10.949807040416863
20180607,9.788450296904685,10.87813128106544
20180606,10.338950172641304,10.93854116510336
20180605,9.908039440799843,10.948312923859488
20180604,10.149657573334471,11.141946360445345
20180601,10.797618247593569,11.037496180530116
20180531,10.16004740462899,10.25787268776303
20180530,10.187437698902361,9.795218115981646
20180529,9.244580713580499,9.706420604634262
20180528,8.52574776325676,8.220641681796002
20180525,8.802632703587461,7.6474316239908235
20180524,9.473522275951085,7.879889116082879
20180523,9.468879798447821,8.023350961852021
20180522,10.496349701310518,6.70281030884345
20180521,10.697625447958696,6.712324457779122
20180518,10.550373754275778,6.851469437789872
