date,value,item,name
20180405,2662.84,level,SPX
20180406,2604.47,level,SPX
20180409,2613.16,level,SPX
20180410,2656.87,level,SPX
20180411,2642.19,level,SPX
20180412,2663.99,level,SPX
20180413,2656.3,level,SPX
20180416,2677.84,level,SPX
20180417,2706.39,level,SPX
20180418,2708.64,level,SPX
20180419,2693.13,level,SPX
20180420,2670.14,level,SPX
20180423,2670.29,level,SPX
20180424,2634.56,level,SPX
20180425,2639.4,level,SPX
20180426,2666.94,level,SPX
20180427,2669.91,level,SPX
20180430,2648.05,level,SPX
20180501,2654.8,level,SPX
20180502,2635.67,level,SPX
20180503,2629.73,level,SPX
20180504,2663.42,level,SPX
20180507,2672.63,level,SPX
20180508,2671.92,level,SPX
20180509,2697.79,level,SPX
20180510,2723.07,level,SPX
20180511,2727.72,level,SPX
20180514,2730.13,level,SPX
20180515,2711.45,level,SPX
20180516,2722.46,level,SPX
20180517,2720.13,level,SPX
20180518,2712.97,level,SPX
20180521,2733.01,level,SPX
20180522,2724.44,level,SPX
20180523,2733.29,level,SPX
20180524,2727.76,level,SPX
20180525,2721.33,level,SPX
20180529,2689.86,level,SPX
20180530,2724.01,level,SPX
20180531,2705.27,level,SPX
20180601,2734.62,level,SPX
20180604,2746.87,level,SPX
20180605,2748.8,level,SPX
20180606,2772.35,level,SPX
20180607,2770.37,level,SPX
20180608,2779.03,level,SPX
20180611,2782.0,level,SPX
20180612,2786.85,level,SPX
20180613,2775.63,level,SPX
20180614,2782.49,level,SPX
20180615,2779.66,level,SPX
20180618,2773.75,level,SPX
20180619,2762.59,level,SPX
20180620,2767.32,level,SPX
20180621,2749.76,level,SPX
20180622,2754.88,level,SPX
20180625,2717.07,level,SPX
20180626,2723.06,level,SPX
20180627,2699.63,level,SPX
20180628,2716.31,level,SPX
20180629,2718.37,level,SPX
20180702,2726.71,level,SPX
20180703,2713.22,level,SPX
20180705,2736.61,level,SPX
20180706,2759.82,level,SPX
20180709,2784.17,level,SPX
20180710,2793.84,level,SPX
20180711,2774.02,level,SPX
20180712,2798.29,level,SPX
20180713,2801.31,level,SPX
20180716,2798.43,level,SPX
20180717,2809.55,level,SPX
20180718,2815.62,level,SPX
20180719,2804.49,level,SPX
20180720,2801.83,level,SPX
20180723,2806.98,level,SPX
20180724,2820.4,level,SPX
20180725,2846.07,level,SPX
20180726,2837.44,level,SPX
20180727,2818.82,level,SPX
20180730,2802.6,level,SPX
20180731,2816.29,level,SPX
20180801,2813.36,level,SPX
20180802,2827.22,level,SPX
20180803,2840.35,level,SPX
20180806,2850.4,level,SPX
20180807,2858.45,level,SPX
20180808,2857.7,level,SPX
20180809,2853.58,level,SPX
20180810,2833.28,level,SPX
20180813,2821.93,level,SPX
20180814,2839.96,level,SPX
20180815,2818.37,level,SPX
20180816,2840.69,level,SPX
20180817,2850.13,level,SPX
20180820,2857.05,level,SPX
20180821,2862.96,level,SPX
20180822,2861.82,level,SPX
20180823,2856.98,level,SPX
20180824,2874.69,level,SPX
20180827,2896.74,level,SPX
20180828,2897.52,level,SPX
20180829,2914.04,level,SPX
20180830,2901.13,level,SPX
20180831,2901.52,level,SPX
20180904,2896.72,level,SPX
20180905,2888.6,level,SPX
20180906,2878.05,level,SPX
20180907,2871.68,level,SPX
20180910,2877.13,level,SPX
20180911,2887.89,level,SPX
20180912,2888.92,level,SPX
20180913,2904.18,level,SPX
20180914,2904.98,level,SPX
20180917,2888.8,level,SPX
20180918,2904.31,level,SPX
20180919,2907.95,level,SPX
20180920,2930.75,level,SPX
20180921,2929.67,level,SPX
20180924,2919.37,level,SPX
20180925,2915.56,level,SPX
20180926,2905.97,level,SPX
20180927,2914.0,level,SPX
20180928,2913.98,level,SPX
20181001,2924.59,level,SPX
20181002,2923.43,level,SPX
20181003,2925.51,level,SPX
20181004,2901.61,level,SPX
20181005,2885.57,level,SPX
20181008,2884.43,level,SPX
20181009,2880.34,level,SPX
20181010,2785.68,level,SPX
20181011,2728.37,level,SPX
20181012,2767.13,level,SPX
20181015,2750.79,level,SPX
20181016,2809.92,level,SPX
20181017,2809.21,level,SPX
20181018,2768.78,level,SPX
20181019,2767.78,level,SPX
20181022,2755.88,level,SPX
20181023,2740.69,level,SPX
20181024,2656.1,level,SPX
20181025,2705.57,level,SPX
20181026,2658.69,level,SPX
20181029,2641.25,level,SPX
20181030,2682.63,level,SPX
20181031,2711.74,level,SPX
20181101,2740.37,level,SPX
20181102,2723.06,level,SPX
20181105,2738.31,level,SPX
20181106,2755.45,level,SPX
20181107,2813.89,level,SPX
20181108,2806.83,level,SPX
20181109,2781.01,level,SPX
20181112,2726.22,level,SPX
20181113,2722.18,level,SPX
20181114,2701.58,level,SPX
20181115,2730.2,level,SPX
20181116,2736.27,level,SPX
20181119,2690.73,level,SPX
20181120,2641.89,level,SPX
20181121,2649.93,level,SPX
20181123,2632.56,level,SPX
20181126,2673.45,level,SPX
20181127,2682.17,level,SPX
20181128,2743.79,level,SPX
20181129,2737.76,level,SPX
20181130,2760.17,level,SPX
20181203,2790.37,level,SPX
20181204,2700.06,level,SPX
20181206,2695.95,level,SPX
20181207,2633.08,level,SPX
20181210,2637.72,level,SPX
20181211,2636.78,level,SPX
20181212,2651.07,level,SPX
20181213,2650.54,level,SPX
20181214,2599.95,level,SPX
20181217,2545.94,level,SPX
20181218,2546.16,level,SPX
