date,value,name
20170928,2510.06,SPX
20170929,2519.36,SPX
20171002,2529.12,SPX
20171003,2534.58,SPX
20171004,2537.74,SPX
20171005,2552.07,SPX
20171006,2549.33,SPX
20171009,2544.73,SPX
20171010,2550.64,SPX
20171011,2555.24,SPX
20171012,2550.93,SPX
20171013,2553.17,SPX
20171016,2557.64,SPX
20171017,2559.36,SPX
20171018,2561.26,SPX
20171019,2562.1,SPX
20171020,2575.21,SPX
20171023,2564.98,SPX
20171024,2569.13,SPX
20171025,2557.15,SPX
20171026,2560.4,SPX
20171027,2581.07,SPX
20171030,2572.83,SPX
20171031,2575.26,SPX
20171101,2579.36,SPX
20171102,2579.85,SPX
20171103,2587.84,SPX
20171106,2591.13,SPX
20171107,2590.64,SPX
20171108,2594.38,SPX
20171109,2584.62,SPX
20171110,2582.3,SPX
20171113,2584.84,SPX
20171114,2578.87,SPX
20171115,2564.62,SPX
20171116,2585.64,SPX
20171117,2578.85,SPX
20171120,2582.14,SPX
20171121,2599.03,SPX
20171122,2597.08,SPX
20171124,2602.42,SPX
20171127,2601.42,SPX
20171128,2627.04,SPX
20171129,2626.07,SPX
20171130,2647.58,SPX
20171201,2642.22,SPX
20171204,2639.44,SPX
20171205,2629.57,SPX
20171206,2629.27,SPX
20171207,2636.98,SPX
20171208,2651.5,SPX
20171211,2659.99,SPX
20171212,2664.11,SPX
20171213,2662.85,SPX
20171214,2652.01,SPX
20171215,2675.81,SPX
20171218,2690.16,SPX
20171219,2681.47,SPX
20171220,2679.25,SPX
20171221,2684.57,SPX
20171222,2683.34,SPX
20171226,2680.5,SPX
20171227,2682.62,SPX
20171228,2687.54,SPX
20171229,2673.61,SPX
20180102,2695.81,SPX
20180103,2713.06,SPX
20180104,2723.99,SPX
20180105,2743.15,SPX
20180108,2747.71,SPX
20180109,2751.29,SPX
20180110,2748.23,SPX
20180111,2767.56,SPX
20180112,2786.24,SPX
20180116,2776.42,SPX
20180117,2802.56,SPX
20180118,2798.03,SPX
20180119,2810.3,SPX
20180122,2832.97,SPX
20180123,2839.13,SPX
20180124,2837.54,SPX
20180125,2839.25,SPX
20180126,2872.87,SPX
20180129,2853.53,SPX
20180130,2822.43,SPX
20180131,2823.81,SPX
20180201,2821.98,SPX
20180202,2762.13,SPX
20180205,2648.94,SPX
20180206,2695.14,SPX
20180207,2681.66,SPX
20180208,2581.0,SPX
20180209,2619.55,SPX
20180212,2656.0,SPX
20180213,2662.94,SPX
20180214,2698.63,SPX
20180215,2731.2,SPX
20180216,2732.22,SPX
20180220,2716.26,SPX
20180221,2701.33,SPX
20180222,2703.96,SPX
20180223,2747.3,SPX
20180226,2779.6,SPX
20180227,2744.28,SPX
20180228,2713.83,SPX
20180301,2677.67,SPX
20180302,2691.25,SPX
20180305,2720.94,SPX
20180306,2728.12,SPX
20180307,2726.8,SPX
20180308,2738.97,SPX
20180309,2786.57,SPX
