date,value,item,name,tenor
20180806,0.100921,varswap,SPX,1m
20180807,0.098786,varswap,SPX,1m
20180808,0.097679,varswap,SPX,1m
20180809,0.104985,varswap,SPX,1m
20180810,0.120985,varswap,SPX,1m
20180813,0.133428,varswap,SPX,1m
20180814,0.119809,varswap,SPX,1m
20180815,0.13669,varswap,SPX,1m
20180816,0.127274,varswap,SPX,1m
20180817,0.11837,varswap,SPX,1m
20180820,0.116278,varswap,SPX,1m
20180821,0.116963,varswap,SPX,1m
20180822,0.116763,varswap,SPX,1m
20180823,0.120528,varswap,SPX,1m
20180824,0.115349,varswap,SPX,1m
20180827,0.110081,varswap,SPX,1m
20180828,0.117434,varswap,SPX,1m
20180829,0.116217,varswap,SPX,1m
20180830,0.126461,varswap,SPX,1m
20180831,0.11955,varswap,SPX,1m
20180904,0.120075,varswap,SPX,1m
20180905,0.125937,varswap,SPX,1m
20180906,0.135019,varswap,SPX,1m
20180907,0.136552,varswap,SPX,1m
20180910,0.126495,varswap,SPX,1m
20180911,0.116546,varswap,SPX,1m
20180912,0.114796,varswap,SPX,1m
20180913,0.106343,varswap,SPX,1m
20180914,0.105965,varswap,SPX,1m
20180917,0.117624,varswap,SPX,1m
20180918,0.114549,varswap,SPX,1m
20180919,0.107004,varswap,SPX,1m
20180920,0.109231,varswap,SPX,1m
20180921,0.110611,varswap,SPX,1m
20180924,0.111931,varswap,SPX,1m
20180925,0.114671,varswap,SPX,1m
20180926,0.118952,varswap,SPX,1m
20180927,0.113633,varswap,SPX,1m
20180928,0.114235,varswap,SPX,1m
20181001,0.109236,varswap,SPX,1m
20181002,0.110745,varswap,SPX,1m
20181003,0.108708,varswap,SPX,1m
20181004,0.131402,varswap,SPX,1m
20181005,0.143118,varswap,SPX,1m
20181008,0.143802,varswap,SPX,1m
20181009,0.152135,varswap,SPX,1m
20181010,0.21722,varswap,SPX,1m
20181011,0.243483,varswap,SPX,1m
20181012,0.206144,varswap,SPX,1m
20181015,0.202005,varswap,SPX,1m
20181016,0.16761,varswap,SPX,1m
20181017,0.166457,varswap,SPX,1m
20181018,0.191959,varswap,SPX,1m
20181019,0.193129,varswap,SPX,1m
20181022,0.183924,varswap,SPX,1m
20181023,0.198931,varswap,SPX,1m
20181024,0.241314,varswap,SPX,1m
20181025,0.227167,varswap,SPX,1m
20181026,0.240965,varswap,SPX,1m
20181029,0.237839,varswap,SPX,1m
20181030,0.226734,varswap,SPX,1m
20181031,0.204426,varswap,SPX,1m
20181101,0.190213,varswap,SPX,1m
20181102,0.194917,varswap,SPX,1m
20181105,0.189513,varswap,SPX,1m
20181106,0.191492,varswap,SPX,1m
20181107,0.155426,varswap,SPX,1m
20181108,0.162311,varswap,SPX,1m
20181109,0.172154,varswap,SPX,1m
20181112,0.198147,varswap,SPX,1m
20181113,0.198931,varswap,SPX,1m
20181114,0.206287,varswap,SPX,1m
20181115,0.197604,varswap,SPX,1m
20181116,0.184743,varswap,SPX,1m
20181119,0.199157,varswap,SPX,1m
20181120,0.217542,varswap,SPX,1m
20181121,0.202237,varswap,SPX,1m
20181123,0.211453,varswap,SPX,1m
20181126,0.179351,varswap,SPX,1m
20181127,0.18406,varswap,SPX,1m
20181128,0.178027,varswap,SPX,1m
20181129,0.185377,varswap,SPX,1m
20181130,0.181913,varswap,SPX,1m
20181203,0.1572,varswap,SPX,1m
20181204,0.212059,varswap,SPX,1m
20181206,0.213894,varswap,SPX,1m
20181207,0.240595,varswap,SPX,1m
20181210,0.223261,varswap,SPX,1m
20181211,0.216283,varswap,SPX,1m
20181212,0.215015,varswap,SPX,1m
20181213,0.207277,varswap,SPX,1m
20181214,0.218914,varswap,SPX,1m
20181217,0.23756,varswap,SPX,1m
20181218,0.24789,varswap,SPX,1m
20181219,0.246134,varswap,SPX,1m
20181220,0.285103,varswap,SPX,1m
20181221,0.297546,varswap,SPX,1m
20181224,0.351937,varswap,SPX,1m
20181226,0.30638,varswap,SPX,1m
20161228,0.179433,varswap,STOXX50E,1m
20161229,0.18674,varswap,STOXX50E,1m
20161230,0.188604,varswap,STOXX50E,1m
20170102,0.159854,varswap,STOXX50E,1m
20170103,0.166539,varswap,STOXX50E,1m
20170104,0.162417,varswap,STOXX50E,1m
20170105,0.157493,varswap,STOXX50E,1m
20170106,0.151697,varswap,STOXX50E,1m
20170109,0.149374,varswap,STOXX50E,1m
20170110,0.148375,varswap,STOXX50E,1m
20170111,0.154253,varswap,STOXX50E,1m
20170112,0.160853,varswap,STOXX50E,1m
20170113,0.147963,varswap,STOXX50E,1m
20170116,0.150462,varswap,STOXX50E,1m
20170117,0.155103,varswap,STOXX50E,1m
20170118,0.146724,varswap,STOXX50E,1m
20170119,0.147606,varswap,STOXX50E,1m
20170120,0.146697,varswap,STOXX50E,1m
20170123,0.16355,varswap,STOXX50E,1m
20170124,0.15853,varswap,STOXX50E,1m
20170125,0.154798,varswap,STOXX50E,1m
20170126,0.153564,varswap,STOXX50E,1m
20170127,0.158689,varswap,STOXX50E,1m
20170130,0.166217,varswap,STOXX50E,1m
20170131,0.168196,varswap,STOXX50E,1m
20170201,0.16031,varswap,STOXX50E,1m
20170202,0.158201,varswap,STOXX50E,1m
20170203,0.150128,varswap,STOXX50E,1m
20170206,0.15562,varswap,STOXX50E,1m
20170207,0.160798,varswap,STOXX50E,1m
20170208,0.163262,varswap,STOXX50E,1m
20170209,0.150137,varswap,STOXX50E,1m
20170210,0.149057,varswap,STOXX50E,1m
20170213,0.141272,varswap,STOXX50E,1m
20170214,0.14186,varswap,STOXX50E,1m
20170215,0.145619,varswap,STOXX50E,1m
20170216,0.153439,varswap,STOXX50E,1m
20170217,0.148049,varswap,STOXX50E,1m
20170220,0.14493,varswap,STOXX50E,1m
20170221,0.141669,varswap,STOXX50E,1m
20170222,0.14709,varswap,STOXX50E,1m
20170223,0.152133,varswap,STOXX50E,1m
20170224,0.160402,varswap,STOXX50E,1m
20170227,0.1542,varswap,STOXX50E,1m
20170228,0.157843,varswap,STOXX50E,1m
20170301,0.149151,varswap,STOXX50E,1m
20170302,0.147494,varswap,STOXX50E,1m
20170303,0.143417,varswap,STOXX50E,1m
20170306,0.146938,varswap,STOXX50E,1m
20170307,0.145368,varswap,STOXX50E,1m
20170308,0.145253,varswap,STOXX50E,1m
20170309,0.148739,varswap,STOXX50E,1m
20170313,0.144325,varswap,STOXX50E,1m
20170314,0.149749,varswap,STOXX50E,1m
20170315,0.150157,varswap,STOXX50E,1m
20170316,0.14366,varswap,STOXX50E,1m
20170317,0.138369,varswap,STOXX50E,1m
20170320,0.1402,varswap,STOXX50E,1m
20170321,0.144713,varswap,STOXX50E,1m
20170322,0.156784,varswap,STOXX50E,1m
20170323,0.164362,varswap,STOXX50E,1m
20170324,0.169185,varswap,STOXX50E,1m
20170327,0.170737,varswap,STOXX50E,1m
20170328,0.167044,varswap,STOXX50E,1m
20170329,0.185066,varswap,STOXX50E,1m
20170330,0.180635,varswap,STOXX50E,1m
20170331,0.178384,varswap,STOXX50E,1m
20170403,0.188676,varswap,STOXX50E,1m
20170404,0.190332,varswap,STOXX50E,1m
20170405,0.195934,varswap,STOXX50E,1m
20170406,0.205021,varswap,STOXX50E,1m
20170407,0.214377,varswap,STOXX50E,1m
20170410,0.232281,varswap,STOXX50E,1m
20170411,0.243008,varswap,STOXX50E,1m
20170412,0.241328,varswap,STOXX50E,1m
20170413,0.247651,varswap,STOXX50E,1m
20170418,0.261558,varswap,STOXX50E,1m
20170419,0.243423,varswap,STOXX50E,1m
20170420,0.252372,varswap,STOXX50E,1m
20170421,0.255963,varswap,STOXX50E,1m
20170424,0.157491,varswap,STOXX50E,1m
20170425,0.152024,varswap,STOXX50E,1m
20170426,0.154474,varswap,STOXX50E,1m
20170427,0.161094,varswap,STOXX50E,1m
20170428,0.175171,varswap,STOXX50E,1m
20170502,0.162788,varswap,STOXX50E,1m
20170503,0.163055,varswap,STOXX50E,1m
20170504,0.153984,varswap,STOXX50E,1m
20170508,0.138858,varswap,STOXX50E,1m
20170509,0.139443,varswap,STOXX50E,1m
20170510,0.13592,varswap,STOXX50E,1m
20170511,0.137664,varswap,STOXX50E,1m
20170512,0.136834,varswap,STOXX50E,1m
20170515,0.139387,varswap,STOXX50E,1m
20170516,0.132045,varswap,STOXX50E,1m
20170517,0.159142,varswap,STOXX50E,1m
20170518,0.170789,varswap,STOXX50E,1m
20170519,0.156946,varswap,STOXX50E,1m
20170522,0.145412,varswap,STOXX50E,1m
20170523,0.13645,varswap,STOXX50E,1m
20170524,0.136876,varswap,STOXX50E,1m
20170525,0.137088,varswap,STOXX50E,1m
20170526,0.138884,varswap,STOXX50E,1m
20170529,0.13791,varswap,STOXX50E,1m
20170530,0.14022,varswap,STOXX50E,1m
20170531,0.143678,varswap,STOXX50E,1m
20170601,0.135255,varswap,STOXX50E,1m
20170602,0.130876,varswap,STOXX50E,1m
20170605,0.128071,varswap,STOXX50E,1m
20170606,0.134772,varswap,STOXX50E,1m
